date,user_id,type,value
2018-11-30T16:14:47.168Z,50,mood,2.0
2019-03-16T13:36:13.861Z,80,mood,1.57761859894
2018-12-10T18:21:18.016Z,17,sleep,2.4215903282199998
2019-07-24T16:35:39.299Z,97,sleep,2.6799998
2019-06-29T11:27:23.556Z,83,sleep,2.4824898243
2019-02-12T15:14:54.199Z,38,mood,1.1600001
2019-02-12T21:42:18.606Z,97,mood,3.5807652473400005
2019-07-14T13:05:55.023Z,56,sleep,3.5183768272400004
2019-06-13T00:27:10.746Z,93,mood,3.92
2019-04-18T14:44:35.138Z,65,sleep,2.3600001
2018-10-08T23:20:34.496Z,97,mood,0.119999886
2018-12-19T19:24:45.538Z,33,sleep,2.44
2019-06-07T23:05:01.543Z,44,sleep,2.8
2018-10-09T13:41:24.118Z,19,sleep,4.0
2019-02-21T13:15:04.375Z,90,mood,2.88
2018-11-30T20:13:58.162Z,33,sleep,1.9200001
2019-06-10T10:49:36.927Z,90,sleep,2.56
2018-10-29T19:10:19.311Z,66,mood,3.28
2018-11-07T13:45:50.820Z,71,mood,1.6489636898
2019-02-10T20:21:28.037Z,11,mood,1.03156471252
2019-06-08T16:29:22.137Z,10,mood,2.0
2019-01-28T03:32:43.567Z,46,ruminationStress,1.4000001
2019-07-01T09:43:52.949Z,64,mood,2.4
2019-05-31T12:49:35.942Z,52,sleep,4.0
2019-05-22T14:49:39.851Z,83,mood,0.03999996
2018-09-24T23:46:55.566Z,29,mood,2.3510365486099998
2018-09-24T12:14:44.516Z,3,ruminationStress,2.24
2018-10-29T13:40:49.430Z,33,ruminationStress,2.0
2019-05-09T22:26:48.656Z,73,mood,2.56
2019-01-19T18:02:27.282Z,34,mood,1.5999999
2018-08-19T13:27:40.041Z,8,mood,1.72
2018-10-25T13:34:14.323Z,75,sleep,4.0
2019-04-07T11:51:30.374Z,64,mood,2.6399999
2019-03-07T14:24:16.654Z,77,mood,1.47961401939
2018-10-06T13:42:32.988Z,60,mood,3.24
2019-03-15T12:04:18.883Z,4,mood,2.0
2019-06-07T22:50:38.920Z,91,mood,3.96
2019-06-22T12:09:48.362Z,52,anticipatoryStress,0.8991947174070001
2019-01-26T16:13:47.619Z,83,sleep,2.6399999
2018-12-05T18:24:24.178Z,26,sleep,4.0
2019-06-27T12:45:29.431Z,51,mood,3.6
2019-03-14T14:25:25.517Z,43,mood,3.16
2019-05-22T04:32:07.937Z,43,sleep,1.52
2018-09-25T12:54:02.768Z,52,mood,2.0419030189500003
2019-02-07T15:42:12.077Z,64,sleep,2.3935680389400003
2018-11-28T15:09:44.874Z,63,mood,0.03999996
2019-06-10T18:49:51.046Z,66,sleep,0.07999992
2019-04-30T12:51:09.416Z,46,mood,3.0
2019-06-29T17:52:52.396Z,15,sleep,3.0
2019-07-11T14:49:18.917Z,20,sleep,2.44
2019-01-25T20:18:13.421Z,60,sleep,2.42342996597
2018-12-11T14:00:03.768Z,97,mood,2.49879455566
2019-03-14T12:05:07.696Z,74,anticipatoryStress,2.01514053345
2019-05-30T20:17:41.563Z,21,mood,0.7331078052519999
2019-07-13T14:21:32.825Z,72,mood,1.0
2019-03-09T13:36:42.062Z,76,mood,4.0
2019-06-25T12:29:19.450Z,63,mood,3.0
2019-03-17T16:14:19.815Z,93,sleep,1.8800001
2018-12-21T02:05:35.350Z,33,mood,1.6772835254700003
2019-06-27T12:45:29.413Z,53,sleep,0.55999994
2018-09-21T23:56:46.867Z,46,sleep,2.2891726493799998
2019-03-15T12:52:34.487Z,32,ruminationStress,2.04
2019-01-09T00:37:13.274Z,66,mood,2.61404895782
2018-10-06T13:23:37.671Z,68,sleep,0.119999886
2019-05-03T14:06:15.904Z,91,sleep,0.0
2018-09-26T02:45:23.059Z,47,sleep,3.7466425895699995
2018-12-01T16:44:37.484Z,66,mood,4.0
2019-07-07T20:58:03.891Z,59,mood,2.37749814987
2018-11-05T12:25:52.955Z,42,sleep,2.0
2019-06-15T23:49:45.342Z,81,mood,2.48115706444
2018-10-02T20:42:28.754Z,67,sleep,2.12
2018-12-19T16:18:26.869Z,3,mood,1.1277616024
2018-11-09T23:53:30.152Z,52,mood,1.28
2018-12-10T00:28:42.103Z,13,mood,1.61492943764
2018-11-14T01:58:02.585Z,4,mood,0.0
2018-11-07T19:54:33.851Z,48,mood,3.6
2019-06-02T16:45:50.229Z,68,sleep,0.0
2019-07-05T19:37:27.945Z,17,mood,4.0
2019-01-14T21:12:16.224Z,17,sleep,1.52
2018-12-25T17:35:21.619Z,60,mood,3.12
2019-06-28T13:19:48.867Z,59,mood,0.24000001
2019-05-20T12:57:38.266Z,64,mood,0.8800001000000001
